packagecode,groupid,modelid,groupname,modelname,hardwareversion,networkprovider,mainfirmwaretype,mainfirmware,coprocfirmwaretype,coprocfirmware,mainsettingsname,mainsettingsid,coprocsettingname,plsign,isvalid,updatedby,updatedat,disable
83,4155,1303,PointO,BMS_Pixcell_48V_Default_2023_EV_AT,P25V9,AIOT,,LAFMV2-4G_EC200UCN-P25V9-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V9_MAY_23_2024_17,,1F431229EEAF00882BE0DEC08596B2D395239C6E52720C17335EF379CDDF5DF6,3D65C2920993C2587024FDC78A817671E58801F518090609EF47A67B16F51371,15F1A46751F17156B8D86C8E356524A37906121FA4A5C19C370A9CB9D19E310B,false,varashebkanthi@intellicar.in,1740470633928,false
92,4015,1270,Battrixx,BMS_Battrixx_48V_Default_2023_EV_AT,P22V2,AIRTEL,,LAFM_4G_P22V2_AUG_21_2023_18_S,,LAFC_CAN_P22V2_SEP_05_2023_14,,470855B023C431BEF84DE391B2E4B4713F162C135947E31C94F179968B68127A,4C6C98F1EB63705E93E69E5BE2DEC3F93AB2EAC1DAFA0927F4C93866C7C78738,E1A8AE7674A46DCB54E6A02B7192208115F7B63DE5F5C86542C3EDED7A6AA673,false,varashebkanthi@intellicar.in,1740470634022,false
4,3031,752,Turno,eRickshaw_Omega_Seiki rage+_Default_2021_EV_AT,V26,AIRTEL,,LAF_V2_6_OCT21_15_11_2022_05_P,,LAFC_CAN_FW_V2_3_1,,,8C4E7962396C7C26C185FAF3002AE9F292D070BD385CED8E02425487D85579C7,AFF68385E2170AD4ED68F085FBA4210A842A14EC7A10C58A0A3844E322379073,false,varashebkanthi@intellicar.in,1740470633002,false
14,2818,1106,MBSI_PVT_LTD,Bike_Honda_Dio_Default_2021_P_AT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V7_MAY_23_2024_17,,0000000000000000000000000000000000000000000000000000000000000000,8E7348D6FCC755295409C4D5781634CF6B069BED0FB55FA80A53FD4DBF63DF52,47F1431913E34C3402244A49B77C974567A7251049B85B0308B5A0ED2C40F4C3,false,varashebkanthi@intellicar.in,1740470633125,false
22,4546,1444,Stride,Tata ace_Tata_Tata Ace_EV_2023_EV_AT,P25V12,JIO2,,LAFMV2-4G_EC200UCN-P25V12-F1V12-NOV_28_2024_18-DNSV6-JIO2,,LAFC_CAN_P25V12_OCT_03_2024_12,,0000000000000000000000000000000000000000000000000000000000000000,DA18EB382C1A8C585BA396A077C617165547A56B2DB7BAC1270500AB8F1E258A,A283194387496D44478CC0F15D0D6D052D0A5CA90C63E937E89D36178976BAD5,false,varashebkanthi@intellicar.in,1740470633358,false
35,2208,1495,Livguard,BMS_Livguard_BMS_WK_16S_LFP_48V_60A_V4_2023_EV_AT,P22V9,AIOT,,LAFMV2-4G_EC200UCN-P22V9-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P22V9_MAY_15_2024_16_LIV_CANWKUP,,EE13F4A886D9F4FF7E5C51225A4153607F9448F66F4CB35F2EA18303DDAE8221,5B9B05103FE74F82407122C031EB012DCD6BBECF0F804D03915D5553BE0B122A,B0D2AB98A477DFE3D921E3344C7CD02D16BEC8C921A724443E2814765354D5E3,false,varashebkanthi@intellicar.in,1740470633472,false
45,2541,1454,Upgrid_Mobility,BMS_Stefen_48V_Superpower_Default_2023_EV_AT,P22V2,AIOT,,LAFMV2-4G_EC200UCN-P22V2-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P22V2_SEP_13_2024_14,,5C08EB6381216AA9C054394A269594B0E28F17817A69016AD807CA274E327D8B,6D0A00201627DBC3432C23A6A588E3AC9C1BF57F59EAB3A5E3A6B007DC98F81B,C20BF6BDB3E6A761D157A215A6585F2C148EF15D0C0F5FDC0306F6FD00D6ED6C,false,varashebkanthi@intellicar.in,1740470633563,false
52,4428,1583,IntelliOne,VFD_INVT_GD200A_Mercury_2024_EV_AT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_RS485_P25V7_P30V4_MAY_20_2024_16_INVT_19200_8E1,,0000000000000000000000000000000000000000000000000000000000000000,181134315C5B7EB4298D272526897ACA3C943821C73976B430034B87F858B05A,36B47104991B9BCAB4B000EB37B4079CEC187836D9DFDCCA18A635A724048BAF,false,varashebkanthi@intellicar.in,1740470633652,false
62,1717,895,IndusGo,Car_Maruti_Brezza_Default_2020_P_MT,SFF-V2,AIOT,,LAFMV2-2G_MC60-SFF-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_SFF_SEP_13_2024_14,,0000000000000000000000000000000000000000000000000000000000000000,8283DAD575B63A5621A69387614D4134A24F343743EF130D7B2945EBA1EB27A8,EC36DA3797FBF2948F5A4A45AF88A2E78C68991FA3287B531B3281ADB678CBC2,false,varashebkanthi@intellicar.in,1740470633744,false
72,4428,1571,IntelliOne,VFD_INVT_GD200A_Kohinoor_2024_EV_AT,P25V12,AIOT,,LAFMV2-4G_EC200UCN-P25V12-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_RS485_P25V12_P30V4_NOV_22_2024_12_INVT_19200_8E1,,0000000000000000000000000000000000000000000000000000000000000000,181134315C5B7EB4298D272526897ACA3C943821C73976B430034B87F858B05A,36B47104991B9BCAB4B000EB37B4079CEC187836D9DFDCCA18A635A724048BAF,false,varashebkanthi@intellicar.in,1740470633834,false
82,3868,1527,Metafin,VFD_INVT_GD200A_Field Marshal_2023_EV_AT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_RS485_P25V7_P30V4_MAY_20_2024_16_INVT_19200_8E1,,1F431229EEAF00882BE0DEC08596B2D395239C6E52720C17335EF379CDDF5DF6,181134315C5B7EB4298D272526897ACA3C943821C73976B430034B87F858B05A,36B47104991B9BCAB4B000EB37B4079CEC187836D9DFDCCA18A635A724048BAF,false,varashebkanthi@intellicar.in,1740470633928,false
93,3120,0,Inverted_energy,____0__,SFF-V2,AIOT,,LAFMV2-2G_MC60-SFF-F1V9-AUG_17_2024_11-DNS-AIOT,,LAFC_CAN_SFF_SEP_13_2024_14,,C0949A5EAC9373902C95E9188A4510FCFCFFF7817F21B951A34BB5974B37A2A8,50D4B508AFC45F691D6127BD8519350406CB66106A10F2E31BD0FA4604289E81,44B388B38E4F84443339B75D311CA9EFBA5E47DC625888DE88A9879A1B9B57DE,false,varashebkanthi@intellicar.in,1740470634033,false
103,1822,1616,Amplus,Mini Bus_Higer_H5C_Default_2024_EV_AT,P25V7,S_MY,,LAFMV2-4G_EC200UEU-P25V7-F1V8-MAY_30_2024_16-DNS-MY_ONO-BETA,,LAFC_CAN_P25V7_MAY_23_2024_17,,0000000000000000000000000000000000000000000000000000000000000000,BBC90E3FAE64F151F66389B748ABF1FDB0A18A353A69F962E1133F36BEF1C38E,B3D54D2B8A136A40CC5873593A165AE8D8D5D1F30C6DC1DB2B9D0C143C91E4DA,false,varashebkanthi@intellicar.in,1740470634123,false
112,2818,850,MBSI_PVT_LTD,Bike_Honda_Activa_6G_2020_P_MT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V7_MAY_23_2024_17,,0000000000000000000000000000000000000000000000000000000000000000,8E7348D6FCC755295409C4D5781634CF6B069BED0FB55FA80A53FD4DBF63DF52,47F1431913E34C3402244A49B77C974567A7251049B85B0308B5A0ED2C40F4C3,false,varashebkanthi@intellicar.in,1740470634213,false
122,4326,1182,ETM_BIKES,eBike_BGauss_D15i_Default_2022_EV_AT,P25V1,AIOT,,LAFMV2-4G_EC200UCN-P25V1-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V1_OCT_05_2023_14,,0000000000000000000000000000000000000000000000000000000000000000,83E369DE976BB93117B3EB32535631BE678650EB3408040E3DC0B3B0FDA09491,13CCDFEE96BE597057F382CDBAF0184F5BE2ACC66E45E3A35405B2B0EE17F7E8,false,varashebkanthi@intellicar.in,1740470634302,false
132,2370,686,Mooving,BMS_Livguard_48V_V1_2020_EV_AT,SFF-V2,AIOT,,LAFMV2-2G_MC60-SFF-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_2G_SFF_MAY_23_2024_17,,0000000000000000000000000000000000000000000000000000000000000000,A60AD184EC6D32E3C27E5D0BE6319BBA4A615BAF77086ED1FB78C62AE2C3E904,4EF9DCD3C1919764ED1110965695E39A5043DB391162BDD95DDF74FFADBC2CF0,false,varashebkanthi@intellicar.in,1740470634393,false
142,4171,1380,Ecomile_tech,BMS_Ecomile_51V_Default_2023_EV_AT,P22V2,AIOT,,LAFMV2-4G_EC200UCN-P22V2-F1V6-MAR_06_2024_16-IP-AIOT,,LAFC_CAN_P22V2_SEP_05_2023_14,,C0949A5EAC9373902C95E9188A4510FCFCFFF7817F21B951A34BB5974B37A2A8,4053499604D880118DE551B6FD4EA859B4E2B5FE9CD63855706EA93B19D003DB,EFA24742D29549ED70A9FBDC10D199EDAE135FAA40BA66E243DAD0D110F8465A,false,varashebkanthi@intellicar.in,1740470634481,false
152,165,1249,RoyalBrothers,Bike_TVS_JUPITER_Default_2020_P_AT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V7_MAY_23_2024_17,,0000000000000000000000000000000000000000000000000000000000000000,8E7348D6FCC755295409C4D5781634CF6B069BED0FB55FA80A53FD4DBF63DF52,47F1431913E34C3402244A49B77C974567A7251049B85B0308B5A0ED2C40F4C3,false,varashebkanthi@intellicar.in,1740470634570,false
162,3633,1759,Eastman,BMS_Eastman_51V-150Ah_Electric Fuel 16S/100A_2024_EV_AT,P25V12,AIOT,,LAFMV2-4G_EC200UCN-P25V12-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V12_OCT_03_2024_12,,0000000000000000000000000000000000000000000000000000000000000000,AA08C389793280E6D11A2934D51E46BD8245BE69C99B5F48CD4B7A8B77BDA252,5F9C0154F9181A7438757482984FA141EE10D256519964D61B4502D64D95C95C,false,varashebkanthi@intellicar.in,1740470634658,false
172,3963,1263,Tata_Demo,Truck_Tata_2818C_Default_2022_D_MT,P15V7,AIRTEL,,LAFMV2-4G_EC200UCN-P15V7-F1V1-DEC_04_2023_12-S-BETA,,LAFC_CAN_P15V7_OCT_05_2023_14,,0000000000000000000000000000000000000000000000000000000000000000,D5CD2B885227D7A931B376E8C5D67E945BAF06677BB18225CED10A891D2408F8,CDA85C45F6D85344D24906AB30D0C33564A7C7419D5E826E5072814AD8F0E709,false,varashebkanthi@intellicar.in,1740470634749,false
10,6170,1113,Quick_Ride,Car_Tata_Xpress -T_Default_2021_EV_AT,P25V12,AIOT,,LAFMV2-4G_EC200UCN-P25V12-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V12_OCT_03_2024_12,,70E4D06376A24A461E463ED6793E9E8E4D4EA11C6D4FED0F1284F60C919A1448,5B1FC2E9CE2E3146200240365CF92D40B1171203DD95AE8F1D0BE8BC665E9D7F,669A608F3ADBC30DE9E47DE179125B246C6B17C6714CC9EEFFA5F69BFCD739ED,false,varashebkanthi@intellicar.in,1740470633006,false
16,4428,1598,IntelliOne,VFD_Crompton Greaves_VSX48-032 20CEB_Livguard_2024_EV_AT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_RS485_P25V7_P30V4_MAY_21_2024_12_CROMPTON_9600_8N1,,1F431229EEAF00882BE0DEC08596B2D395239C6E52720C17335EF379CDDF5DF6,3E63CFBC1181A521CB700855A17D65186BA4556B0F309F5ECEE800316688B824,1D34F7F707FF0B4AC67E3BF7EDE977C66315C39EAC07B37BB167B3C08FE58CFB,false,varashebkanthi@intellicar.in,1740470633126,false
28,5028,1762,CLN_Energy,BMS_CLN Energy_51.2V_51.2V150Ah_2024_EV_AT,P25V9,AIOT,,LAFMV2-4G_EC200UCN-P25V9-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V9_SEP_13_2024_14,,0000000000000000000000000000000000000000000000000000000000000000,62042648B1A9752B80E74EFAF48FCD83A97F86F0F4400922383A4D221B386CB1,9547BAC04BF8D8C907C4C83A9888FEDC1B42DC146EB00EB52FABD9533CF4B231,false,varashebkanthi@intellicar.in,1740470633364,false
38,3033,1239,vidyuttech_API,eRickshaw_MLR Auto_Eltra_City_SEG+Exicom_2023_EV_AT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V7_MAR_21_2024_14_MLR_ODO_HAHB_OS,,3DFA24EDE3BA32D9E0EF515BF148E694CC39468B133A9FD39D01ECD6972F7FAB,314B7DDB47D64A2D9A92CE51D5C4125CEDD9FFCDDFB251CE521E6DDED65BB29F,C9E0D2D8E402CF260A6B422B77DF8BFFE7B2CA698AFAB67027589A8F3BDD51D8,false,varashebkanthi@intellicar.in,1740470633489,false
48,3093,1239,Greaves_3W_MLR_Auto,eRickshaw_MLR Auto_Eltra_City_SEG+Exicom_2023_EV_AT,P25V1,AIOT,,LAFMV2-4G_EC200UCN-P25V1-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V1_MAR_21_2024_14_MLR_ODO_HAHB_OS,,3DFA24EDE3BA32D9E0EF515BF148E694CC39468B133A9FD39D01ECD6972F7FAB,314B7DDB47D64A2D9A92CE51D5C4125CEDD9FFCDDFB251CE521E6DDED65BB29F,C9E0D2D8E402CF260A6B422B77DF8BFFE7B2CA698AFAB67027589A8F3BDD51D8,false,varashebkanthi@intellicar.in,1740470633593,false
57,3919,1181,Charzer,Car_Tata_Xpress -T_Ziptron_2022_EV_AT,P25V3,AIRTEL,,LAFM_4G_P25V3_AUG_31_2023_16_S,,LAFC_CAN_P25V3_OCT_05_2023_14,,283B3A1E54156134645F9B013A2F2C05CDD1444C6B95C47F40573C6D90103F4F,50EE31017A43DBF97327CCD63DB7CD1944F968073010EE8B24EE0658DF0F000D,4CBD530E5E026E47810B147A4B63554DCF08DC9254DC0A49BD9905F4653ED6F8,false,varashebkanthi@intellicar.in,1740470633684,false
67,3157,1521,Perpetuity_Capital,eRickshaw_Omega_Seiki rage+_Default_2023_EV_AT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V7_MAY_23_2024_17,,0000000000000000000000000000000000000000000000000000000000000000,8E7348D6FCC755295409C4D5781634CF6B069BED0FB55FA80A53FD4DBF63DF52,47F1431913E34C3402244A49B77C974567A7251049B85B0308B5A0ED2C40F4C3,false,varashebkanthi@intellicar.in,1740470633778,false
77,2938,0,FAE_Bikes,____0__,P25V6,AIOT,,LAFMV2-4G_EC200UCN-P25V6-F1V6-MAR_06_2024_16-IP-AIOT,,LAFC_CAN_P25V6_OCT_05_2023_14,,0000000000000000000000000000000000000000000000000000000000000000,83E369DE976BB93117B3EB32535631BE678650EB3408040E3DC0B3B0FDA09491,13CCDFEE96BE597057F382CDBAF0184F5BE2ACC66E45E3A35405B2B0EE17F7E8,false,varashebkanthi@intellicar.in,1740470633872,false
88,4169,1326,Bounce_EV,Bike_Bounce_Infinity_Default_2023_EV_AT,P25V3,AIOT,,LAFMV2-4G_EC200UCN-P25V3-F1V6-MAR_06_2024_16-IP-AIOT,,LAFC_CAN_P25V3_OCT_05_2023_14,,0000000000000000000000000000000000000000000000000000000000000000,3DD26C91305349A0F2E46F5C9E7E3AF7FF4FF7F6D96BCAB01DF22CA6B75EA3FC,CC7BFD73BA460D2724CB828D920077B419BB274A068B9DFF4B397C8ABED04CE2,false,varashebkanthi@intellicar.in,1740470633977,false
99,4961,1686,Greaves_2W_Ampere,eBike_Ampere_Nexus_NXG_2024_EV_AT,P25V9,US_ONO,,LAFMV2-4G_EG21G-P25V9-F1V10-SEP_13_2024_13-DNS-US_ONO-BETA,,LAFC_CAN_P25V9_SEP_13_2024_14,,0000000000000000000000000000000000000000000000000000000000000000,10365F09BA589419447AECB2CCC68F71EA16736A5688960BBFFD1E46FB47C6C8,DDE42C43CBBF5CEBD07F02FEFEE6BE5DB84011E2715D0A85AEA1930064B12097,false,varashebkanthi@intellicar.in,1740470634070,false
109,3120,0,Inverted_energy,____0__,P22V5,AIRTEL,,LAFM_4G_P22V5_AUG_31_2023_21_S,,LAFC_CAN_P22V5_OCT_05_2023_14,,C0949A5EAC9373902C95E9188A4510FCFCFFF7817F21B951A34BB5974B37A2A8,A595720B72D997EB32EE6B41A4F5E1CD0DDC8C142ED6426B77A84E4D8C0CB283,ED4453B59B9B0BAE6B7F38BE9538C453362C705412CE7CAFD8E8E0084100CA6E,false,varashebkanthi@intellicar.in,1740470634169,false
119,3024,0,ZyppElectric,____0__,P25V6,AIRTEL,,LAFMV2-4G_EC200UCN-P25V6-F1V2-JAN_08_2023_11-S,,LAFC_CAN_P25V6_SEP_05_2023_14,,707CA6C515F1EC5C73D763DB9AB4E6745FE558EEEE5569A4C3CA9AC87BF71FB8,83E369DE976BB93117B3EB32535631BE678650EB3408040E3DC0B3B0FDA09491,13CCDFEE96BE597057F382CDBAF0184F5BE2ACC66E45E3A35405B2B0EE17F7E8,false,varashebkanthi@intellicar.in,1740470634261,false
129,3919,1181,Charzer,Car_Tata_Xpress -T_Ziptron_2022_EV_AT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V7-MAY_13_2024_20-DNS-AIOT,,LAFC_CAN_P25V7_MAY_23_2024_17,,70E4D06376A24A461E463ED6793E9E8E4D4EA11C6D4FED0F1284F60C919A1448,6230227D2A690CD79A2D9A7CE1287F733815FF54ECC93850ADA2859B316EF4F7,BA0646E87B1396C84F4A15CDFE58E80168F0752FBDEF272FBC3C3002230BEF46,false,varashebkanthi@intellicar.in,1740470634358,false
139,2818,51,MBSI_PVT_LTD,Bike_Honda_CB Hornet 160R_Default_2017_P_MT,SFF-V2,AIOT,,LAFMV2-2G_MC60-SFF-F1V12-NOV_28_2024_18-DNS-AIOT,,LA5_COPROC_CAN_FW_V1_11_3-Sep_15_2022-11_27_13,,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,CEA7FEE89FFFC05B8281B63CD255F2B1F8F890BF0AE82D26D710EE2CF9EFDBA4,false,varashebkanthi@intellicar.in,1740470634450,false
149,2365,0,DeviceManagement,____0__,P22V9,AIOT,,LAFMV2-4G_EC200UCN-P22V9-F1V9-AUG_17_2024_11-DNS-AIOT,,LAFC_CAN_P22V9_SEP_20_2024_18_EXICOM_BETA,,0000000000000000000000000000000000000000000000000000000000000000,3338E1F5D7907245EA09B4990805AA02655B48AAB461C9B5C6BDE2EEBDB89469,FF321CECDA8489953FB9238F24A50F9FA709CE461C213033ECC58D09901B34D6,false,varashebkanthi@intellicar.in,1740470634547,false
159,5026,1586,Maverick_Motors,Bike_Royal Enfield_Himalayan Scram 411_Default_2024_P_MT,P25V7,AIOT,,LAFMV2-4G_EC200UCN-P25V7-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V7_MAY_23_2024_17,,0000000000000000000000000000000000000000000000000000000000000000,8E7348D6FCC755295409C4D5781634CF6B069BED0FB55FA80A53FD4DBF63DF52,47F1431913E34C3402244A49B77C974567A7251049B85B0308B5A0ED2C40F4C3,false,varashebkanthi@intellicar.in,1740470634640,false
170,3120,1382,Inverted_energy,BMS_Inverted_51.6V_Inverted_Daly_2023_EV_AT,P25V6,AIOT,,LAFMV2-4G_EC200UCN-P25V6-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V6_OCT_05_2023_14,,C0949A5EAC9373902C95E9188A4510FCFCFFF7817F21B951A34BB5974B37A2A8,A595720B72D997EB32EE6B41A4F5E1CD0DDC8C142ED6426B77A84E4D8C0CB283,ED4453B59B9B0BAE6B7F38BE9538C453362C705412CE7CAFD8E8E0084100CA6E,false,varashebkanthi@intellicar.in,1740470634733,false
180,2541,1313,Upgrid_Mobility,BMS_Cygni_52V_Default_2023_EV_AT,P22V5,AIOT,,LAFMV2-4G_EC200UCN-P22V5-F1V6-MAR_06_2024_16-IP-AIOT,,LAFC_CAN_P22V5_MAY_23_2024_17,,0C9C9727315D63728A1DB11333C11C915C8EEFD4703AE8166AD60EC6574A25CC,B17FFD46DD25C5D8B5900DBA62C6C39AEF2A94FB37B513748C0406620E1B32DD,A2F7528CA158C35BA32FFF43D09AECB715DB9BCD91980C3BB5E63A00B34836FD,false,varashebkanthi@intellicar.in,1740470634825,false
2054,2818,1459,MBSI_PVT_LTD,Car_Maruti_Wagonr_Default_2023_CNG_MT,P25V9,AIOT,,LAFMV2-4G_EC200UCN-P25V9-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P25V9_SEP_13_2024_14,,0000000000000000000000000000000000000000000000000000000000000000,32776D56967C6B45B7FB573DB194FBC6388B1D6A36253C1A3B882E6AA914DD79,733707B36D9F5027341BECE575742A4EE0C6391FC32382E1E196164F2F9E558E,false,varashebkanthi@intellicar.in,1740470652241,false
5,3326,1463,Trontek,BMS_Trontek_51V_Battery Smart 500K Protocol_2023_EV_AT,P22V9,AIOT,,LAFMV2-4G_EC200UCN-P22V9-F1V12-NOV_28_2024_18-DNS-AIOT,,LAFC_CAN_P22V9_OCT_11_2024_15_INTELLIBAT,,C0949A5EAC9373902C95E9188A4510FCFCFFF7817F21B951A34BB5974B37A2A8,970976BF4155A6F478E25C0AE1BED4D0ABFE591300F24FB06C854A018BDEAE62,D3351DCED34F1686C12CE487AF1B8889C707322FAF9E3680C565AEF2D72357DD,false,varashebkanthi@intellicar.in,1740470633006,false
